ENSEMBL ID,Gene Name,Chr,Strand,Start,End,fex10_1,fex10_2,fex10_3,fex2_1,fex2_2,fex2_3,S2R_1,S2R_2,S2R_3
FBgn0023534,CG17778,X,+,494614,496369,18,22,19,20,16,22,26,18,19
FBgn0023535,arg,X,+,509435,528028,257,166,145,223,226,221,173,169,228
FBgn0023537,CG17896,X,-,490787,493495,2749,2067,1964,2255,2192,1996,2137,2409,2688
FBgn0029525,CG18273,X,-,482777,487581,1850,1622,1310,1556,1708,1655,1318,1638,1295
FBgn0029523,CR18275,X,-,476857,479309,211,170,150,242,244,283,317,355,327
FBgn0010019,Cyp4g1,X,-,467057,469335,0,3,1,1,0,1,2,0,0
FBgn0011822,Pgcl,X,-,436139,437448,0,0,0,0,0,0,0,2,0
FBgn0052816,CG32816,X,-,316576,470726,3,1,2,7,4,4,6,8,3
FBgn0040370,CG13375,X,-,283186,294962,68,40,49,27,48,48,21,42,21
FBgn0040373,CG3038,X,-,243954,245856,931,769,705,903,959,1115,1335,1501,1255
FBgn0000108,Appl,X,+,530501,579044,75,75,52,41,51,41,79,82,94
FBgn0025640,CG13369,X,+,623468,624765,548,302,300,430,401,349,386,402,610
FBgn0025635,CG17829,X,+,625542,628016,319,259,236,268,286,269,269,289,279
FBgn0001341,Mybbp1A,X,+,629773,633633,1703,1422,1233,1447,1497,1535,1221,1712,1434
FBgn0003575,su(sable),X,+,635890,643760,2675,1940,1881,2078,2049,1961,1478,1884,1720
FBgn0025634,CG13367,X,+,644761,646386,540,479,460,520,502,451,384,392,572
FBgn0025638,Roc1a,X,+,647304,648597,2654,2395,2306,2885,2918,3124,2943,3013,3445
FBgn0040383,CG5254,X,+,750347,758719,403,271,272,244,250,215,198,178,258
FBgn0040382,CG5273,X,+,759594,761939,534,493,445,589,528,520,355,374,388
FBgn0027343,fz3,X,+,769945,784222,27,31,26,54,46,47,23,27,33
FBgn0025621,CG16989,X,+,793147,797061,836,633,582,702,687,588,453,500,596
FBgn0029535,CG14635,X,+,844823,845297,0,0,0,0,0,0,0,0,0
FBgn0026874,CG13358,X,-,803424,804921,12,12,8,9,15,9,12,6,16
FBgn0025616,CG13359,X,-,801669,803470,1,3,1,0,4,3,3,4,3
FBgn0015799,Rbf,X,-,797090,801479,3344,2453,2371,2663,2577,2385,1837,2265,2301
FBgn0025620,CG13360,X,-,787855,790089,1,2,2,0,0,1,1,2,0
FBgn0015288,RpL22,X,-,762560,765130,12849,13778,14074,13376,13335,12226,12686,13742,17046
FBgn0029532,CG13361,X,-,752011,753653,2,3,0,1,0,3,0,2,0
FBgn0029531,CG13362,X,-,749241,751301,9,4,4,2,6,5,1,4,3
FBgn0025639,Hmt4-20,X,-,648483,656033,2571,2088,2040,2149,1984,2040,1550,1934,1704
FBgn0002579,RpL36,X,-,628338,629483,36258,23711,21255,20017,22274,16930,24314,17924,33038
FBgn0026879,CG13364,X,-,624757,625203,2439,1694,1518,1844,1948,1688,1974,1793,3078
FBgn0029529,CG13365,X,-,620717,621215,250,159,165,189,168,147,188,208,366
FBgn0025633,CG13366,X,-,585081,620195,3099,2457,2579,2667,2691,2854,1978,2505,2231
FBgn0040892,CG14634,X,+,862608,863200,0,1,0,0,0,0,0,0,0
FBgn0040341,CG11664,X,+,875732,876612,0,0,0,0,0,0,0,0,0
FBgn0029539,CG11663,X,+,894482,895200,0,0,0,0,0,0,0,0,0
FBgn0040339,MED22,X,+,928139,928860,908,699,597,799,956,911,963,1002,1202
FBgn0052815,CG32815,X,+,932466,939424,15,10,14,12,10,13,14,17,17
FBgn0040340,TRAM,X,+,935232,937822,2436,1829,1589,1652,1795,1615,1553,1559,2018
FBgn0040347,mus81,X,+,941075,943229,244,185,208,288,251,286,202,250,286
FBgn0042146,CG18823,X,+,990518,991184,161,110,115,113,160,181,650,578,630
FBgn0029552,CG14631,X,+,1012035,1012624,0,0,0,0,0,0,0,0,1
FBgn0040337,CG3021,X,+,1026791,1028290,1377,868,788,923,960,867,879,912,1066
FBgn0040398,CG14629,X,+,1051525,1052631,11928,9857,9574,7261,6850,5951,3682,3909,5825
FBgn0040365,CG14628,X,+,1145644,1146132,114,70,60,34,26,38,37,35,35
FBgn0040397,CG3655,X,-,1073041,1134896,408,344,381,425,444,489,220,269,189
FBgn0026143,Cdc45,X,-,1028291,1030556,2568,2158,1903,2232,2251,2038,1739,1826,2051
FBgn0040351,CG11638,X,-,1013984,1026703,1279,924,817,1461,1414,1521,317,362,334
FBgn0040338,TfIIA-S-2,X,-,1011101,1011643,473,419,358,652,730,821,254,261,283
FBgn0040350,CG3690,X,-,948585,951900,0,2,7,5,3,1,0,1,1
FBgn0040349,CG3699,X,-,946662,947500,0,0,0,0,0,0,0,0,0
FBgn0040348,CG3703,X,-,942474,945773,269,184,197,267,270,250,266,301,328
FBgn0040346,CG3704,X,-,939170,940805,753,471,468,571,613,506,552,467,738
FBgn0040342,CG3706,X,-,930931,932475,8,10,5,6,4,6,11,11,23
FBgn0040345,CG3708,X,-,928798,930098,0,0,0,0,0,0,0,1,0
FBgn0040343,CG3713,X,-,846171,847157,1,0,0,1,0,0,0,1,0
FBgn0052814,CG32814,X,-,1019795,1026700,210,185,184,244,227,281,60,92,52
FBgn0040364,CG11378,X,+,1170828,1173797,580,432,358,176,183,137,35,36,55
FBgn0040362,CG11379,X,+,1180165,1181551,0,0,1,0,0,0,0,0,0
FBgn0040361,CG14627,X,+,1181620,1183502,2,0,2,0,0,0,0,0,0
FBgn0040360,CG14626,X,+,1184778,1188585,1,0,0,0,0,0,1,1,0
FBgn0040359,CG11380,X,+,1191308,1196660,3,2,2,3,1,0,1,0,0
FBgn0040358,CG14625,X,+,1199546,1203157,0,0,0,0,0,0,1,1,0
FBgn0029568,CG11381,X,+,1203777,1205433,11,7,6,3,6,2,1,0,1
FBgn0040357,CG14624,X,+,1206737,1207555,3,3,3,1,2,3,0,2,3
FBgn0040367,CG11382,X,+,1209970,1211853,14,10,17,16,11,14,12,7,11
FBgn0025642,CG32812,X,+,1287290,1288945,164,150,143,108,99,101,46,54,53
FBgn0004650,fs(1)N,X,+,1322513,1329438,32,27,24,14,12,12,76,79,70
FBgn0024362,Naa30A,X,+,1342106,1344770,3267,2348,2186,2559,2491,2540,1752,1796,2092
FBgn0024361,Tsp2A,X,+,1346553,1348143,44,57,39,31,33,31,10,12,18
FBgn0024364,CG11417,X,+,1354014,1356473,2005,1519,1354,1791,1605,1511,1208,1255,1859
FBgn0029573,CG14770,X,+,1369249,1370176,19,13,13,19,22,19,20,12,31
FBgn0024987,ssx,X,+,1370580,1375257,6840,6366,5701,7506,7120,7959,5586,6853,6154
FBgn0023169,AMPKalpha,X,+,1375536,1378896,4851,3563,3517,4064,3987,3873,3073,3356,3823
FBgn0052813,CG32813,X,+,1380914,1392843,221,159,179,179,154,166,99,110,106
FBgn0024985,Rilpl,X,+,1393054,1397337,3594,3081,3009,3717,3634,3852,2297,2974,2497
FBgn0027794,Lrpprc2,X,-,1457175,1460617,1715,1015,916,1186,1114,873,800,774,1358
FBgn0027795,CG14785,X,-,1455215,1457054,141,104,99,145,115,118,130,176,193
FBgn0024986,CG3719,X,-,1378885,1380480,1370,968,902,1054,1081,961,977,1089,1488
FBgn0000826,png,X,-,1356488,1357601,570,416,403,538,517,471,725,615,999
FBgn0024365,CG12773,X,-,1349623,1353981,4626,3490,3292,3810,3727,3556,2599,3069,3029
FBgn0024360,MTPAP,X,-,1344872,1349357,1077,742,715,842,811,698,687,764,910
FBgn0024366,CG11409,X,-,1329518,1341587,30,15,19,21,16,19,17,29,30
FBgn0025641,DAAM,X,-,1289713,1322362,1553,1152,1265,1640,1689,1495,369,459,484
FBgn0052811,CG32811,X,-,1297984,1298387,35,16,21,39,39,41,1,11,7
FBgn0028550,Atf3,X,-,1242740,1275284,1162,881,929,956,937,974,878,1197,786
FBgn0026876,CG11403,X,-,1236873,1239884,1507,1104,1015,1327,1408,1169,851,1021,1048
FBgn0040366,CG11398,X,-,1211989,1215156,501,368,348,460,517,457,403,501,465
FBgn0040363,CG11384,X,-,1173877,1176035,12,8,5,2,4,1,8,7,8
FBgn0040368,eIF4E7,X,-,1158599,1162389,3,5,4,2,3,2,1,3,2
FBgn0026872,CG14777,X,+,1466134,1468692,758,524,503,655,623,588,574,600,948
FBgn0029580,CG14778,X,+,1467493,1470614,39,25,31,36,37,38,27,31,39
FBgn0025383,CG14780,X,+,1472522,1473727,24,24,10,22,31,28,28,11,36
FBgn0025381,rush,X,+,1478552,1481420,10816,7516,7807,8463,8636,8539,7591,8218,8799
FBgn0025394,inc,X,+,1483479,1517615,5705,4293,3867,4557,4654,4650,3566,4361,3957
FBgn0000482,dor,X,+,1665052,1668451,2686,2021,2081,2087,1959,1770,1452,1711,2087
FBgn0001189,hfw,X,+,1669570,1673608,2837,2465,2556,2590,2618,2697,1907,2478,2205
FBgn0029587,CG14797,X,+,1681566,1684891,1,3,1,2,2,2,2,1,0
FBgn0024897,b6,X,+,1686624,1690187,17,22,19,5,12,8,1,2,4
FBgn0025391,Scgdelta,X,-,1735945,1754065,1,0,3,0,0,0,0,1,0
FBgn0025378,CG3795,X,-,1708806,1710182,1,0,0,0,0,0,0,2,0
FBgn0023130,a6,X,-,1693615,1695889,567,475,488,498,518,512,361,430,439
FBgn0023530,CG3740,X,-,1668406,1669297,1857,1224,1157,1412,1514,1570,1299,1295,1416
FBgn0025390,Mur2B,X,-,1523554,1668788,225,127,138,143,143,124,101,98,177
FBgn0025393,CG14795,X,-,1512227,1512803,0,0,0,0,0,0,0,0,0
FBgn0003517,sta,X,-,1481797,1483413,37361,29670,29870,23184,22078,17645,19867,19181,33231
FBgn0044508,snoRNA:M,X,-,1482492,1482590,13,16,13,18,26,18,13,16,15
FBgn0025382,Rab27,X,-,1473884,1476974,373,264,265,244,265,185,264,254,389
FBgn0052808,CG32808,X,-,1468693,1469817,38,19,23,27,18,21,28,26,40
FBgn0027791,O-fut2,X,-,1464363,1465996,840,510,533,539,491,419,412,353,803
FBgn0027793,CG14787,X,-,1460807,1461676,8,23,14,16,16,14,12,12,20
FBgn0052806,CG32806,X,+,1789566,1790418,0,1,0,0,0,0,0,0,0
FBgn0026873,MED18,X,+,1865909,1866887,665,554,472,696,689,682,593,571,747
FBgn0023513,CG14803,X,+,1868870,1872408,890,783,763,976,931,916,801,953,907
FBgn0014411,Vps26,X,+,1873853,1876474,5000,3735,3857,4230,4230,4424,3285,4029,3815
FBgn0023514,CG14805,X,+,1877317,1879077,4395,3198,2777,3292,3341,3289,3197,3448,3996
FBgn0029594,CG14806,X,+,1880282,1881432,2416,1843,1569,2071,2291,2049,1781,1777,2261
FBgn0023519,mRpL16,X,+,1890256,1891482,1529,1183,1016,1354,1324,1274,1239,1260,1668
FBgn0023509,mip130,X,+,1908239,1920318,2430,1823,1804,2167,2063,1871,1589,1710,2137
FBgn0023510,Rbcn-3B,X,+,1908920,1916825,7858,5921,5616,6713,6731,6704,4348,5312,4380
FBgn0023508,Ocrl,X,+,1922981,1927524,3302,2446,2335,2737,2460,2295,1591,1969,2144
FBgn0023522,CG11596,X,+,1927683,1930517,2926,2115,1985,2842,2742,2957,2546,3038,2979
FBgn0023521,CG3587,X,+,1940307,1941536,441,333,284,356,384,349,334,364,435
FBgn0025627,CG4194,X,+,2068592,2069688,54,36,42,41,53,55,63,69,64
FBgn0025630,Rtca,X,+,2072413,2074890,693,451,486,551,586,574,563,531,727
FBgn0025629,CG4045,X,-,2074795,2075900,1273,1087,994,1175,1191,1055,1251,1226,1566
FBgn0025628,CG4199,X,-,2066435,2073483,8937,7093,7009,7157,6937,6247,4556,5158,6174
FBgn0029596,CG14054,X,-,2065273,2066359,3,3,2,3,2,1,4,1,5
FBgn0025626,CG4281,X,-,2062313,2065142,3031,2698,2699,3311,3170,3085,2349,2890,3039
FBgn0025625,Sik2,X,-,2055310,2061915,151,128,113,103,105,95,62,64,82
FBgn0025631,moody,X,-,2044292,2050120,3616,3122,3041,3937,3939,4218,2486,3168,2501
FBgn0026878,CG4325,X,-,2042730,2043818,6,4,3,4,5,8,5,4,6
FBgn0000667,Actn,X,-,2023822,2042311,4170,3072,2961,3476,3286,2834,2180,2622,2897
FBgn0003964,usp,X,-,2038798,2042311,2276,1700,1725,1948,1995,1791,1476,1602,1704
FBgn0023545,PIG-K,X,-,2007911,2009364,1669,1386,1245,1489,1546,1416,1398,1775,1737
FBgn0023520,CG3857,X,-,1937700,1940040,460,371,341,395,414,413,343,470,392
FBgn0023512,eIF2Bepsilon,X,-,1920166,1922874,2477,1898,1847,2134,2188,1963,1682,1955,2264
FBgn0023511,Edem1,X,-,1903704,1908827,2601,1985,2016,2059,2158,2069,1870,2344,2036
FBgn0052801,CG32801,X,-,1902082,1903177,63,37,47,33,35,29,47,37,65
FBgn0023518,trr,X,-,1881313,1889950,4216,3309,2949,3177,3140,2854,1837,2292,2190
FBgn0026088,CG14818,X,-,1879019,1879774,1432,992,907,924,980,808,1162,1036,1536
FBgn0026089,CG14817,X,-,1876294,1877270,1329,931,812,1007,1095,879,1176,920,1670
FBgn0023517,Pgam5,X,-,1872400,1873565,1540,1049,942,1132,1130,987,1092,1088,1476
FBgn0023516,Pex5,X,-,1866832,1869061,422,273,264,375,426,319,372,387,539
FBgn0023515,CG14814,X,-,1862009,1865835,399,378,316,524,529,515,390,422,477
FBgn0028969,deltaCOP,X,-,1859141,1861790,4453,3131,3059,3232,3066,2843,2626,2931,3415
FBgn0026090,CG14812,X,-,1857889,1858971,1023,853,813,859,954,936,904,981,1140
FBgn0029590,CG14811,X,-,1821469,1822381,10,3,3,4,9,7,6,3,6
FBgn0025624,CG4025,X,+,2076966,2078455,1534,1309,1192,1505,1448,1367,1406,1567,1792
FBgn0040395,Unc-76,X,+,2080610,2093948,13865,11619,10877,12241,12425,12435,7182,8610,7899
FBgn0000382,csw,X,+,2094234,2115701,2100,1580,1575,1818,1839,1997,1403,1735,1533
FBgn0023507,D2hgdh,X,+,2141489,2144937,1706,1188,974,1482,1443,1365,1437,1435,2136
FBgn0004654,Pgd,X,+,2145136,2148566,4909,3119,2918,3256,3087,2451,2522,2400,3897
FBgn0023540,CG3630,X,+,2162196,2172281,375,296,296,417,420,359,360,406,532
FBgn0025839,ND-B14.5A,X,+,2172526,2173432,931,734,564,844,883,772,948,687,1266
FBgn0011576,Cyp4d2,X,+,2176006,2178728,216,148,156,204,157,202,252,247,287
FBgn0015036,Cyp4ae1,X,+,2179007,2180998,49,32,37,29,36,30,18,24,16
FBgn0003116,pn,X,+,2181211,2182916,877,647,574,768,874,808,800,819,934
FBgn0040899,CG17776,X,+,2184725,2185258,902,623,540,677,691,608,758,644,1206
FBgn0040900,CG17777,X,+,2186855,2187741,16,9,6,14,7,10,15,10,12
FBgn0024984,CG3457,X,+,2187820,2188919,623,575,567,685,726,624,655,758,1047
FBgn0023549,Mct1,X,+,2189188,2205373,2074,1769,1611,2968,2903,2611,2401,2792,2911
FBgn0029606,CG14052,X,+,2223754,2224969,4,5,4,0,4,0,2,6,6
FBgn0003048,pcx,X,+,2225296,2238045,9984,8297,6994,7856,7889,7471,3641,4339,3766
FBgn0000810,fs(1)K10,X,+,2242138,2246041,1489,1169,1125,1413,1365,1509,1198,1570,1145
FBgn0023523,Or2a,X,+,2246231,2247567,14,19,15,18,14,12,13,14,16
FBgn0023527,CG3071,X,+,2262837,2264825,3872,2715,2185,2611,2743,2392,2276,2509,2731
FBgn0040391,CG2854,X,+,2327128,2328941,1,1,3,0,0,0,0,2,0
FBgn0053218,lncRNA:CR33218,X,+,2330159,2330826,2,1,2,1,0,3,1,3,0
FBgn0003079,Raf,X,+,2295466,2343870,2617,1920,1898,2038,2026,2047,1462,1852,1655
FBgn0003159,CG2841,X,-,2344949,2366356,759,725,650,174,192,193,99,118,83
FBgn0040389,mRpL14,X,-,2343997,2344649,1947,1409,1214,1637,1690,1644,1475,1363,2077
FBgn0044047,Ilp6,X,-,2331493,2334658,486,415,397,311,345,357,342,381,348
FBgn0040392,CG14050,X,-,2324748,2326217,9,3,7,1,7,6,5,17,8
FBgn0023526,CG2865,X,-,2278031,2293411,3201,2665,2989,2919,2983,3136,2173,2676,2130
FBgn0023529,CG2918,X,-,2271008,2275068,19247,15225,14442,14853,14950,15314,11359,14741,13144
FBgn0023528,CG2924,X,-,2264657,2270761,5262,4312,4072,4536,4822,5024,3472,4611,3483
FBgn0027296,temp,X,-,2260207,2262515,821,821,779,852,940,967,781,872,808
FBgn0023524,CG3078,X,-,2254403,2259863,40,36,34,23,22,22,33,41,39
FBgn0023525,CG3191,X,-,2250145,2251993,165,113,117,155,154,127,156,201,243
FBgn0000377,crn,X,-,2247594,2249983,3968,2795,2366,3021,2948,2698,2473,2553,3678
FBgn0001330,kz,X,-,2237858,2242035,1532,1167,970,1128,1026,1101,888,1029,950
FBgn0004397,Vinc,X,-,2214347,2222567,9611,7636,7925,6817,6290,5918,4696,5327,6053
FBgn0023550,FarO,X,-,2201820,2203866,0,0,0,1,1,1,2,0,1
FBgn0029603,CG14053,X,-,2191639,2193909,5,3,7,4,5,4,5,3,6
FBgn0023542,Nmd3,X,-,2182818,2184668,4481,3567,3146,3708,3644,3794,3140,3689,3900
FBgn0023541,Cyp4d14,X,-,2173415,2175315,87,82,74,83,72,85,112,126,148
FBgn0005670,Cyp4d1,X,-,2159145,2162180,4,2,2,0,0,1,4,3,7
FBgn0004655,wapl,X,-,2149936,2158983,3851,3009,2614,3129,3029,2883,2136,2341,2752
FBgn0013432,bcn92,X,-,2148463,2149647,2418,1757,1588,1964,1998,1959,1855,2014,2258
FBgn0004861,ph-p,X,-,2126210,2138371,1643,1356,1275,1539,1550,1477,1088,1239,1294
FBgn0004860,ph-d,X,-,2115727,2123286,1534,1413,1235,1542,1564,1397,997,1180,1106
FBgn0040394,CG16903,X,-,2078343,2080405,3108,2011,1928,2125,2083,1880,1766,1813,2565
FBgn0040376,AANATL7,X,+,2580958,2583823,1,1,2,0,0,1,1,1,0
FBgn0040066,wds,X,+,2585980,2588217,1989,1597,1531,1658,1622,1684,1424,1745,1661
FBgn0001404,egh,X,+,2588503,2599111,2951,2377,2230,2440,2418,2675,2253,2788,2314
FBgn0040336,Seipin,X,+,2619799,2622140,336,238,198,335,311,342,358,356,377
FBgn0040333,brv3,X,-,2622069,2624575,9,17,16,15,17,11,26,19,22
FBgn0040334,Tsp3A,X,-,2617758,2619738,1655,1274,1239,1488,1424,1594,1320,1482,1337
FBgn0029629,eIF3g1,X,-,2609247,2610336,4040,3409,3340,2938,2813,2502,2536,2729,3662
FBgn0011566,Smyd3,X,-,2606680,2608876,391,297,273,322,301,268,250,284,393
FBgn0011606,Klp3A,X,-,2599158,2604052,2275,1843,1747,2606,2465,2530,1768,2071,2171
FBgn0040375,CG13760,X,-,2583745,2585699,294,214,188,253,247,256,250,247,275
FBgn0040377,Vha36-3,X,-,2579091,2580560,10,8,5,2,2,4,3,4,17
FBgn0040388,boi,X,-,2444167,2470043,341,245,233,279,279,272,265,287,269
FBgn0003714,tko,X,-,2442313,2443976,1663,1248,1052,1304,1404,1400,1474,1300,1711
FBgn0001150,gt,X,-,2427113,2428967,25,14,24,13,13,12,9,12,12
FBgn0052797,CG32797,X,-,2424925,2425855,0,0,0,1,0,0,0,0,0
FBgn0040385,CG12496,X,-,2409365,2410901,0,0,0,0,0,2,0,0,0
FBgn0003371,sgg,X,+,2633952,2679553,5691,4049,4118,4464,4468,4859,2919,3684,2726
FBgn0003068,per,X,+,2685580,2692780,6,2,4,2,2,1,2,3,5
FBgn0024993,CG2662,X,+,2698701,2701033,146,103,114,137,134,136,127,141,204
FBgn0024996,eIF2Bbeta,X,+,2704571,2706217,1078,781,751,974,908,878,847,866,1194
FBgn0024997,CG2681,X,+,2708684,2711668,121,61,86,73,70,61,98,65,167
FBgn0024991,CG2694,X,+,2714079,2717654,1089,843,726,1059,1080,1087,870,1021,1021
FBgn0000928,fs(1)Yb,X,+,2720468,2724158,1610,1119,1090,1305,1326,1313,1209,1401,1423
FBgn0000927,fs(1)Ya,X,+,2724286,2726577,17,11,9,9,9,14,7,5,11
FBgn0000520,dwg,X,+,2727698,2730042,337,241,201,231,250,235,211,183,305
FBgn0024975,CG2712,X,+,2732469,2734402,132,93,106,103,117,108,84,84,115
FBgn0040356,CG12498,X,+,2809881,2810846,0,0,0,0,0,0,0,0,0
FBgn0003996,w,X,-,2790599,2796466,4,2,3,1,2,2,1,0,1
FBgn0040384,CG32795,X,-,2782906,2790567,236,167,163,221,246,220,252,310,286
FBgn0024980,Syx4,X,-,2739089,2744076,700,573,463,511,527,537,357,439,366
FBgn0000376,crm,X,-,2734248,2738773,650,447,441,560,563,499,416,441,469
FBgn0024973,CG2701,X,-,2717638,2720327,689,443,449,432,446,374,368,385,619
FBgn0024998,CG2685,X,-,2711756,2713960,605,508,456,602,629,600,435,563,578
FBgn0024995,CG2680,X,-,2706151,2707427,3,3,2,0,8,6,3,4,2
FBgn0024994,Ugalt,X,-,2701124,2703852,1292,996,1007,1087,1092,1152,944,1154,1107
FBgn0024992,Spg7,X,-,2694392,2698211,1382,966,888,986,974,880,705,727,986
FBgn0000092,dyw,X,-,2692732,2693886,5,3,3,2,2,1,3,1,3
FBgn0025838,CG2652,X,-,2681987,2682932,0,0,0,0,0,0,0,0,0
FBgn0011276,HLH3B,X,-,2680199,2681723,0,0,0,0,0,0,0,0,0
FBgn0004647,N,X,+,3134870,3172221,3545,2655,2418,3405,3266,3193,2841,3367,3001
FBgn0040396,CG3939,X,+,3175018,3176223,2251,1717,1571,2128,2265,2379,2283,2257,2546
FBgn0000479,dnc,X,+,3176440,3343767,1113,870,847,1471,1354,1499,652,893,785
FBgn0002933,ng1,X,+,3242412,3242934,0,0,0,0,0,0,0,0,0
FBgn0003374,Sgs4,X,+,3250089,3251040,0,0,0,1,0,0,0,0,0
FBgn0029660,CG10801,X,+,3460592,3462500,33,45,37,23,25,24,41,61,42
FBgn0029662,CG12206,X,-,3465737,3474524,102,78,64,23,24,42,36,38,42
FBgn0029661,CG16781,X,-,3462474,3464044,2,2,0,0,0,0,1,0,0
FBgn0029659,CG16782,X,-,3459016,3460240,8,8,4,2,3,4,4,5,2
FBgn0029658,CG14269,X,-,3434943,3435807,11,6,9,11,4,12,9,9,4
FBgn0052493,tRNA:Gln-TTG-2-1,X,-,3427452,3427523,0,0,0,0,0,0,0,1,1
FBgn0029657,CG12535,X,-,3387944,3448943,29,36,26,20,32,34,22,33,16
FBgn0029656,CG10793,X,-,3314744,3316402,12,14,9,9,5,6,8,14,13
FBgn0003086,Pig1,X,-,3248600,3249289,0,0,0,0,0,0,0,0,0
FBgn0010296,ng4,X,-,3243954,3244220,0,0,0,0,0,0,0,0,0
FBgn0010295,ng3,X,-,3241491,3242084,0,0,0,0,0,0,0,0,0
FBgn0010294,ng2,X,-,3240026,3240571,0,0,0,0,1,0,1,0,0
FBgn0040393,CG14265,X,-,3236130,3236686,0,0,0,0,0,0,0,0,0
FBgn0000644,Fcp3C,X,-,3173376,3174474,16,10,8,5,4,10,16,20,15
FBgn0028746,CG18508,X,-,3172268,3173140,491,388,362,381,425,485,455,422,514
FBgn0040355,CG3526,X,+,2890768,2894232,5,8,8,9,5,8,3,4,5
FBgn0052793,CG32793,X,+,2929796,2932626,3,0,0,0,0,0,0,0,0
FBgn0029642,CG3592,X,+,2935127,2935966,0,0,0,0,0,0,0,0,0
FBgn0025645,CG3598,X,+,2937027,2938073,0,0,0,0,0,0,1,0,0
FBgn0029643,CG14420,X,+,2938856,2940527,0,0,0,0,0,0,0,0,0
FBgn0029644,CG14421,X,+,2941408,2942329,0,1,0,0,0,0,0,0,0
FBgn0029645,CG14422,X,+,2943386,2944569,0,0,0,0,0,0,0,0,0
FBgn0029646,CG14423,X,+,2945403,2946589,0,1,0,0,1,0,0,0,0
FBgn0029647,CG17959,X,+,2947094,2947580,0,0,0,0,0,0,0,0,0
FBgn0029648,CG3603,X,+,2948034,2949120,84,65,46,66,69,51,102,99,132
FBgn0028369,kirre,X,+,2740384,3134532,7,2,8,4,8,7,3,8,1
FBgn0029649,CG4116,X,-,3066615,3067562,0,0,0,0,0,0,0,0,0
FBgn0003285,rst,X,-,2950399,2973834,2,3,1,1,1,1,1,1,0
FBgn0025644,CG14424,X,-,2925884,2927258,0,0,0,0,0,0,0,0,0
FBgn0029639,CG14419,X,-,2885186,2885914,0,0,1,0,0,0,0,0,0
FBgn0040354,CG14418,X,-,2882226,2883661,0,0,1,0,0,0,0,0,0
FBgn0040353,CG14417,X,-,2875428,2876533,0,0,0,0,0,0,0,0,0
FBgn0040352,CG14416,X,-,2871884,2872853,0,0,0,0,0,0,0,0,0
FBgn0029664,CG10802,X,+,3482965,3484555,3045,2242,2145,2585,2805,2672,2774,3055,2994
FBgn0029666,CG10803,X,+,3485650,3490915,3009,2649,2536,3553,3779,4176,2243,3138,2249
FBgn0029669,CG13021,X,+,3514316,3515757,16,7,11,2,7,7,8,11,11
FBgn0052792,ppk8,X,+,3557812,3572000,1,2,0,1,1,0,0,0,0
